inventory_id,item_id,quantity,type
c9312bad-0e6b-447e-944b-98e6bf43b217,7945c5a4-8ae2-45f5-a3a4-8fd7a1f042cf,22247,Lighter - Bbq
c330facb-27d0-4127-9270-91de76544fc7,1767bf81-4026-4032-b710-eb236b334c11,70941,Tahini Paste
ab446703-76f7-4ef0-8636-8076d347b0d7,e1a3d3fa-0757-4679-bc44-f04344f062ee,64514,"Beans - Kidney, Red Dry"
72980dba-3da6-432c-9c03-c360d7b59442,f78bc339-fb6e-4d9a-8012-a3ee1ff58cd4,41183,"Salmon - Atlantic, Fresh, Whole"
21f86e6d-8c6d-451f-942d-c2fde4b917d1,0a7930ce-eee3-4d4f-b15f-3b33033d0819,7131,Tea Leaves - Oolong
62e63a1b-a708-4e87-87a0-29f1a2725845,f29bcfa1-19ba-4d2d-85c8-04cc716bac6f,17520,"Syrup - Monin, Swiss Choclate"
ef0d3f6b-ec6a-480f-a7e8-6523c795bf7a,c796ff99-7030-409e-9230-b4abd9ce0e18,13070,Water - Spring Water 500ml
e0f04136-e149-4db1-8ec0-3ce94bf5afd6,a45c176c-7db4-47da-9009-408652167a62,51600,"Cheese - Woolwich Goat, Log"
c2a8f02b-3aeb-4cee-8806-b039bdb0fd53,1206ffb1-a29a-4d43-877b-c7b91af297c9,66710,Oven Mitt - 13 Inch
4b24769b-efc0-4407-94ba-fc52b61d5cf0,57312102-24fa-47d4-94e3-c55563121435,33053,Oil - Grapeseed Oil
529c6311-98dc-4d5c-817a-0e4d8e69cc05,cb77146f-ce13-4b58-8128-b7edd3be32d4,23846,"Split Peas - Green, Dry"
f39a43e4-aa62-4c31-a548-5083459136f9,85871c63-c53c-48f7-a6cf-6036d17d1faf,12177,Water - Evian 355 Ml
73a49f99-3f24-460a-a4d3-74b3bea90e10,cf419ef8-7a4d-4d65-ae25-90b36f46c825,18001,"Potatoes - Yukon Gold, 80 Ct"
a5d70496-7c7a-4af9-8f6d-1ed82bccb7dc,306e2006-1d9c-46d1-bbd4-1bb2c659f3c4,33754,Spring Roll Veg Mini
74e0eff6-9bd1-45aa-899e-ea580ce44e6c,e054cc51-fee4-4aaf-b0e2-6f069ee55abf,85175,Bread - Malt
48e8c96f-55b5-4ca3-8a6f-1d38d4ab7b31,9a1b4d0f-b6e4-463f-9bb9-fe9c245a3a40,21978,Syrup - Chocolate
76eb52af-cf1f-406d-9e6f-7f6bdf2e1749,332a549d-9528-43fc-ab79-261f2c6858a2,68980,Garlic
9a534331-e727-4ed9-ab6c-df13b9f20ced,0618884f-05b8-444b-9ee7-17a3c70dc260,99410,Pear - Prickly
4b904a5d-4595-4694-b752-12116ecf8ec2,2cd493b9-9983-47f5-b518-886a0a928e08,65592,Garam Masala Powder
5366a4c6-7021-4355-9515-27edbdde2ede,462089c0-2a67-44b5-b389-4ed301c21485,24457,Basil - Fresh
7c7eb3c8-f168-416f-8db4-869617d8274f,3537a7fb-7725-446a-ac5a-dc4ee12aec03,38206,Grapes - Red
12d49bf1-ae68-4243-a227-7e74b5f8e343,1988710d-7627-4bff-af3d-d6e353e1771c,99882,"Soup - Knorr, Ministrone"
57843429-5568-4e42-8402-d53c0e24acfe,f5ce17d4-2944-4e3a-9c65-02fe0aae9fd4,39538,Potatoes - Parissienne
d0457944-7872-435b-821a-8d06eff3a1e3,3bfb9086-d66c-4877-906e-8eeb70db022b,35513,Dasheen
