item_id,item,cost,type
7945c5a4-8ae2-45f5-a3a4-8fd7a1f042cf,Eabox,2618.22,Lighter - Bbq
1767bf81-4026-4032-b710-eb236b334c11,Skyba,5170.43,Tahini Paste
e1a3d3fa-0757-4679-bc44-f04344f062ee,Mymm,3326.52,"Beans - Kidney, Red Dry"
f78bc339-fb6e-4d9a-8012-a3ee1ff58cd4,Trupe,2955.91,"Salmon - Atlantic, Fresh, Whole"
0a7930ce-eee3-4d4f-b15f-3b33033d0819,Babbleset,4357.82,Tea Leaves - Oolong
f29bcfa1-19ba-4d2d-85c8-04cc716bac6f,Gabtype,3568.29,"Syrup - Monin, Swiss Choclate"
c796ff99-7030-409e-9230-b4abd9ce0e18,Blognation,5086.57,Water - Spring Water 500ml
a45c176c-7db4-47da-9009-408652167a62,Cogibox,1442.27,"Cheese - Woolwich Goat, Log"
1206ffb1-a29a-4d43-877b-c7b91af297c9,Skyvu,9737.02,Oven Mitt - 13 Inch
57312102-24fa-47d4-94e3-c55563121435,Topicshots,5794.51,Oil - Grapeseed Oil
cb77146f-ce13-4b58-8128-b7edd3be32d4,Skibox,4455.14,"Split Peas - Green, Dry"
85871c63-c53c-48f7-a6cf-6036d17d1faf,Skaboo,2092.39,Water - Evian 355 Ml
cf419ef8-7a4d-4d65-ae25-90b36f46c825,Jamia,6883.71,"Potatoes - Yukon Gold, 80 Ct"
306e2006-1d9c-46d1-bbd4-1bb2c659f3c4,Kaymbo,518.97,Spring Roll Veg Mini
e054cc51-fee4-4aaf-b0e2-6f069ee55abf,Meedoo,9210.79,Bread - Malt
9a1b4d0f-b6e4-463f-9bb9-fe9c245a3a40,Vinder,556.2,Syrup - Chocolate
332a549d-9528-43fc-ab79-261f2c6858a2,Trupe,3549.27,Garlic
0618884f-05b8-444b-9ee7-17a3c70dc260,Realbridge,2187.38,Pear - Prickly
2cd493b9-9983-47f5-b518-886a0a928e08,Miboo,8922.42,Garam Masala Powder
462089c0-2a67-44b5-b389-4ed301c21485,Pixonyx,6958.65,Basil - Fresh
3537a7fb-7725-446a-ac5a-dc4ee12aec03,Innojam,3247.39,Grapes - Red
1988710d-7627-4bff-af3d-d6e353e1771c,Quimm,3678.74,"Soup - Knorr, Ministrone"
f5ce17d4-2944-4e3a-9c65-02fe0aae9fd4,Kazu,1465,Potatoes - Parissienne
3bfb9086-d66c-4877-906e-8eeb70db022b,Flashpoint,7009.24,Dasheen
dce46130-21a6-4f3a-a160-ad9351e4f776,Demizz,1985.8,Port - 74 Brights
7b423352-f5a4-46d2-8c7f-02e84f3a230e,Twinder,9507.07,Mudslide
8a0783ab-fafe-440f-b2b0-5b94fbd598c3,Meetz,7484.09,Mackerel Whole Fresh
ed48929a-a760-48ea-ac40-666bd71d7277,Edgeify,4162.77,Bread Base - Toscano
819937a3-fa84-42f7-926a-4e019d832a21,Rhynoodle,1262.54,Nori Sea Weed - Gold Label
a5d461bb-3f25-4cf6-85fe-d481e94fcfff,Fivespan,4786.96,Flour - So Mix Cake White
39f6ddac-128c-4867-a368-9690e5ae4700,Abatz,9705.62,Oven Mitts - 15 Inch
424c1ada-4fef-47d5-9312-74203a961e3a,Oyondu,1250.7,Tart - Lemon
88fcdb93-400d-4b4a-89ed-03dbfa18e523,Browsetype,316.71,Croissants Thaw And Serve
e1f75add-51de-4ee4-8638-42bfc59e1dfb,Skimia,1393.01,Rhubarb
f2ca8df5-c222-450e-8d56-12b46c6f89e2,Gabspot,6877.06,Bread - Multigrain Oval
a4b114fb-f788-4fdc-97aa-a6b92ddbafe6,Wikizz,4678.2,Bandage - Finger Cots
c0580156-9870-424a-bfe6-61ca5e58f983,Miboo,7107.78,"Sauce - Soya, Dark"
accadbb9-ba40-47cb-a23e-cdcf4beec61e,Brightdog,3599.99,Wine - Beringer Founders Estate
8531f25f-e1dc-4771-98c7-50f54b0930e5,Pixope,6586.71,Honey - Comb
3f5fe2c6-9e7d-4a2e-a9b8-543fce7a148b,Fivechat,6916.46,Quinoa
7832ed03-64e1-4c68-aa5d-3411a5491a53,Skippad,3648.02,"Chocolate - Pistoles, Lactee, Milk"
ac26371a-17d2-484c-920e-95250986a040,Shufflester,6704.51,"Chicken - Breast, 5 - 7 Oz"
e5b4ddd2-790e-469e-89ab-4e648bb1de10,Realfire,1103.08,Wine - Black Tower Qr
08e6a582-63a3-48a4-a3b4-498bfd10b448,Trudoo,4112.88,Lumpfish Black
c76d9bae-0aff-4c25-a47e-525ca2e1b94b,Thoughtbridge,9051.54,"Tarragon - Primerba, Paste"
4c7ebbfc-253d-4730-ab39-719495a6df26,Buzzshare,7330.63,Pickerel - Fillets
db86d5ad-4589-458e-8b06-4a9c490cd49c,Thoughtbridge,5378,"Lamb - Loin, Trimmed, Boneless"
f1eeeaee-fe39-43a9-9fdc-67fa082940e2,Photobug,6811.49,Honey - Lavender
94fc0e22-8688-4af9-8971-f43bc0248c8d,Dabshots,1356.79,"Syrup - Monin, Swiss Choclate"
9a2d2c4b-13b6-4904-ace1-958de69c429a,Trilith,713.68,Cheese - Mix
578acc1e-2474-4c73-a2a6-8f7265d01cfb,Gigazoom,4506.38,Flounder - Fresh
29ca041b-67c7-4917-981a-707dd3e41631,Dynabox,9439.24,"Beans - Fava, Canned"
c2180575-fba9-402e-ab18-00bea1a10474,Plambee,8177.44,Sobe - Cranberry Grapefruit
5178e814-11c2-4343-ad77-598b38f362c7,Plajo,1823.46,Horseradish - Prepared
fa6059d2-3027-49e0-a19f-21df69041b92,Riffpath,7015.82,"Bread - Rolls, Corn"
d1ffbf0a-b5d8-46d5-85ba-bda412b41d16,Skimia,3851.69,Sauce - Hp
32f10fa2-66a8-472d-ab54-4c8e6c64245c,Photospace,6725.4,Sprouts - Bean
418c0cf4-c65f-4084-8275-a7a87bba41f6,Aimbu,9488.99,Peach - Fresh
43831221-5727-4de3-8b2f-98f0454118a5,Katz,5763.73,"Soup - Campbells, Chix Gumbo"
b1fac206-187b-40a7-9624-9e8ee1f494e2,Katz,6182.51,Wine - Pinot Noir Stoneleigh
fd267590-14db-434c-a2ab-e3633666001b,Skipfire,4518.22,Cheese - Valancey
ebc180c8-2f44-46e9-bc41-23df3ac2cdbd,Cogibox,4966.4,Wine - Sauvignon Blanc Oyster
bd19c4f9-a280-470a-b497-d9033efb5f3f,Omba,5747.77,Wine - Casablanca Valley
fd6929d5-5f8c-4f62-aa76-5320d869bbd1,Flipopia,6830.58,Wine - Valpolicella Masi
8276a4f3-5c1c-4275-962f-c4f5642804d7,Edgewire,8648.8,Yeast Dry - Fleischman
a04cda80-5bde-43ab-b9ae-6fa8417441d5,Realcube,9504.24,Chicken - Soup Base
22933954-77f3-4d52-9e9d-f2d6abb42536,Rhynyx,3958.6,Appetizer - Southwestern
d20b715e-c0ed-41bb-a5b2-56fcaaf577a6,Dynazzy,1883.37,"Bread - Roll, Whole Wheat"
9ba4d7c2-c782-4ae5-b34f-e15736d9d5dd,Yodel,4969.71,Bag - Regular Kraft 20 Lb
088c1c9f-0d13-42f2-b82a-09eb0c38390f,Aibox,2626.83,Basil - Pesto Sauce
2b45cb78-53a3-4632-a9a9-15c5b1962426,Devcast,5363.04,Celery
dfbfcdfe-7735-48eb-b5a9-a8ba3a87eba2,Ozu,8.38,Sponge Cake Mix - Chocolate
9b065e8d-a33e-4f8a-b48d-8e7fdcc7e931,Rhynoodle,6194.62,Kiwi Gold Zespri
271b3657-4fe3-4466-bb79-42f40deed4db,Vimbo,5063.74,Raisin - Dark
be48c4f3-dd2e-4b19-abcc-38a4455f37bc,Zooxo,9814.16,"Potatoes - Purple, Organic"
5e2c5f6d-843b-415e-bf81-4f647d0ffed3,Oyonder,2266.13,Cookies - Englishbay Wht
5f25fb80-0fa8-4e66-a79d-592993f8057b,Gigaclub,8633.64,Daves Island Stinger
c188291d-118a-4f2a-bced-9bce01c8cd61,Feedfish,990.16,Sobe - Liz Blizz
58620db8-9293-4d3a-9f92-73a7e3ad2af7,Skinder,7063.28,Muffin Mix - Corn Harvest
0bea25e9-c493-48e6-acbc-b420225d339c,Voolith,9207.42,Oil - Macadamia
4613617e-df63-4ef5-86c5-b2acd9eb3e31,Youtags,3175.96,Tobasco Sauce
043e9e7b-4750-46be-adeb-0db2afafc22e,Yodoo,445.64,"Soup - Knorr, French Onion"
05f479a5-d248-4a84-8722-9d835745608d,Blogtag,9844.99,Compound - Strawberry
0d8c15dc-4f30-4892-8f68-51112cf73556,Feedbug,9395.49,Cheese - Mascarpone
3fa3b01a-2c70-4229-a021-209dc3711ea9,Livefish,8919.3,Compound - Passion Fruit
3b429982-254f-4e71-ada1-6f7b5b78206f,Yodel,184.11,Kahlua
555bee94-7716-4ad7-97bd-c933580dee99,Innojam,8422.86,Wine - Cava Aria Estate Brut
6cc604df-75ad-4f4e-90bb-17615a5568cf,Fiveclub,524.99,Grapefruit - Pink
bd70c904-ef86-4413-9cf0-80687efd8c91,Yodel,4201.76,Wine La Vielle Ferme Cote Du
048e4ebf-f60b-437d-a289-c3ad1d1fca01,Centizu,5123.36,Lamb - Ground
bc35d059-bc6a-426b-8ae8-f42f6fee4131,Shufflebeat,9274.46,Nescafe - Frothy French Vanilla
e629dd9d-0de4-41a6-8393-e1fb969634a0,Gabtune,6890.88,Soup - Campbells Mushroom
4d24f897-e92a-45df-897a-0e603bd14f50,Jabbertype,4197.89,"Pasta - Lasagna, Dry"
25932291-5ccb-4301-a8ae-98327ee77130,Linkbuzz,4856.62,Wine - Jackson Triggs Okonagan
9276f6dc-51ba-433c-b4aa-ab47b9afb8a3,Meedoo,8985.79,"Ham - Smoked, Bone - In"
8f6a009f-3ea7-4d37-a7eb-0edccfb03599,Photolist,2392.45,Wine - Duboeuf Beaujolais
c77550ee-14da-4c31-88cb-ec70e4f66257,Yodoo,1554.23,Sobe - Green Tea
f9c2ed09-96e3-4a61-919f-9db0693b2894,Voonyx,1922.32,Cheese - Parmigiano Reggiano
699907bb-1282-4e5f-8fc9-ccd900e1ed6b,Topiclounge,1546.2,Chocolate - Milk
5267e700-0070-4d54-988e-3835583e5af7,Skivee,6955.41,Blue Curacao - Marie Brizard
0a9d7b61-8fc4-4a30-97a1-d6c3b4ce4046,Wordware,7245.67,Sausage - Blood Pudding
87056bc1-0dde-44d1-9a88-4b6c32dcfa7b,DabZ,6339.12,"Cheese - Mozzarella, Buffalo"
84788ce7-9715-4bd5-914b-972ffa7d7e85,Edgeify,9333.09,Soupcontfoam16oz 116con
e694efdb-8d47-4c5c-be5b-e4781fe8480d,Mudo,3312.45,Chicken - Leg / Back Attach
d2440724-1e23-4f0e-8392-a7b808a76507,Oyonder,2064.16,"Loaf Pan - 2 Lb, Foil"
ba3be87b-02b6-4c4c-90e7-d99243216d98,Babbleset,6811.51,Lamb - Bones
03934a7c-3bfd-4585-b98b-c91414652184,Flipstorm,7027.86,Pork - Inside
aee312c1-66d0-424d-b7cd-4a279d577e04,InnoZ,1165.78,Lettuce - Arugula
0d465129-aa4a-4300-9d1b-8f2b4983a78e,Divape,8776.81,"Beef - Ox Tongue, Pickled"
7fd63d9a-1601-4dc6-b6f2-f215dbf53a90,Buzzster,8134.74,Appetizer - Escargot Puff
b6e3e9ff-15fe-49a7-9104-07c9ffedf4f6,Tagfeed,4486.84,Sour Puss - Tangerine
641eae71-ecb9-4934-b1b8-3042cd9d9baf,Realpoint,1729.74,Sauce Bbq Smokey
8aaa0e29-5eb3-43ae-b43c-03c86e161828,Twitterbeat,9135.23,Lamb Leg - Bone - In Nz
1dc185c4-71b5-4f2d-adaf-e7b05f27df7c,Oozz,1743.14,Beef Tenderloin Aaa
7acd02f4-181d-40cd-b1f5-81aadbbc30f4,Gabtype,3667.31,Mix - Cappucino Cocktail
70bd2031-f54a-4008-9c19-092331620a69,Realmix,4638.45,Pork - Ground
208115d1-966c-48ff-8217-d1855efa950f,Flashdog,587.69,Pepperoni Slices
b0f351a3-7fef-4cc8-999c-831c0ae81fb0,Vimbo,8967.98,Containter - 3oz Microwave Rect.
9a39cecf-dab2-4c65-80cd-c7eb374dcd87,Skyble,3805.95,Scampi Tail
9fe5c69b-1dc2-497b-add3-9beeed6abd3f,Zooveo,1636.37,Island Oasis - Pina Colada
5d01c6e6-8179-4311-a8e9-8567c553f499,Riffpath,5144.74,Foam Espresso Cup Plain White
ad3ab388-fc5f-41a6-82e6-0cc88e805183,Vidoo,6150.18,Whmis Spray Bottle Graduated
35813b13-a247-45f7-bf87-1cbf53484ddd,Izio,614.24,Cookies Cereal Nut
ee1703a7-c60c-4769-9f48-8fe29e4f41a7,Bubbletube,7244.79,Eggplant Oriental
b7287826-d57f-42cb-b1b7-84ac736bbc8e,Ntags,3055.5,Bread - French Baquette
3a8d87b3-96e6-40ea-b747-9b6658a8b06c,Voonix,7277.1,Muffin - Carrot Individual Wrap
eb869911-2912-46fd-8d29-8f985bb998b6,Linkbuzz,8940.75,Cherries - Frozen
d8e28bc1-3dc3-40dd-9127-c510bb91daca,Buzzshare,2192.53,Pork - Kidney
a9535d70-a2d6-4d96-b375-b49a7a35f739,Meemm,9847.8,Versatainer Nc - 9388
3c7c129f-c3fb-4493-923c-cbeede2d1867,Twitterbridge,6214.58,Cup - 8oz Coffee Perforated
de61dce4-152d-4702-9a46-87257b17a01c,Voonte,475.66,Sambuca Cream
ec91bb1d-b3cb-43d6-b936-168eb9bb2e53,Voomm,4473.71,Beef - Short Ribs
56760bee-95de-49ae-948e-064c1646ccd3,Eayo,3103.39,Bar Nature Valley
f309b0fc-a8ab-4249-a77b-ed60b4bc5079,Fivebridge,2901.98,"Water - Spring Water, 355 Ml"
629b73bf-2e0a-4ca4-936a-d4be97385448,Divanoodle,2195.64,Bread - Sour Sticks With Onion
2a030174-76e4-482f-8b9b-c04831b8977e,Oodoo,31.64,Soup - Campbells Asian Noodle
54e7a3fe-919f-4eb3-bb6e-6eb38954e42e,Browseblab,5492.92,"Lentils - Green, Dry"
58560e9f-b1a1-4d3f-a011-e25fb876ba8e,Tagchat,299.35,Chick Peas - Canned
c8b1d951-dd08-48c0-bf50-d405e35f2fa6,Vimbo,8170.62,Maintenance Removal Charge
c18b3738-34fc-42e4-86e9-5f1ac92f1784,Topiczoom,1192.11,Melon - Watermelon Yellow
bb016516-4750-460b-b09c-0a2b499b65b6,Photospace,9926.2,Apricots Fresh
4ce526f5-abc0-4a5d-a094-d29460033cdd,Jabbersphere,3008.21,Table Cloth 90x90 White
aca0f7cf-8c31-4c50-b52b-2bda0bac4ab7,Wordpedia,6778.39,Honey - Liquid
90d973ef-39fb-4e32-aa5e-cb2a2e1a90b0,Wikibox,5120.37,"Zucchini - Mini, Green"
b01dfc4c-a27e-4fa8-b697-ebd39831b828,Bluezoom,5397.71,Cheese - Colby
cdf92887-e5a7-4553-af3b-ef3a54dca903,Rhycero,4733.9,Red Pepper Paste
7b8c0cff-f8a0-4878-996c-81aa0e0524d2,Buzzbean,8117.82,Pork - Shoulder
513b8c7c-f25e-48d5-824e-eed4ef88fabe,Bubblemix,2219.36,"Water, Tap"
292524b1-483b-4677-ad9a-193271b49341,Vipe,4134.45,Plastic Wrap
da9e0c1a-155f-45d2-8bb4-4c0f03e741b9,Blogtag,6734.57,Chips Potato All Dressed - 43g
f9b872e6-eb88-4cde-b0b7-839fa6327ace,Skibox,3537.1,Bread - Ciabatta Buns
bb9457f4-72f8-415c-8dfe-a345153f2236,Feedspan,2224.12,Glucose
3f98e58a-bd81-4283-b061-efd17ae8a80a,Eayo,5604.3,"Artichokes - Knobless, White"
701b75d2-a5d5-4b3f-9023-cadc6fc8c7ef,Yabox,5649.95,Fish - Bones
e9003fd1-c347-4159-9ee9-5bb9545575c6,Topicstorm,8188.09,Vinegar - Champagne
ca195821-d303-42d9-9be8-5b1d2c72ef3f,Cogilith,208.79,Ham - Cooked Italian
3a8f08c0-62d2-44f2-a964-81a81b72d79b,Geba,7169.44,Cookies - Englishbay Chochip
473ffc72-accc-404e-9e22-04d721401a22,Skyble,6549.03,Cake - Miini Cheesecake Cherry
555adbc4-9ad3-4b00-be42-7439b368b2ef,Agimba,7337.71,Soup - Verve - Chipotle Chicken
5ae99148-5794-4894-ad5e-d7e432cc3c82,Youtags,832.87,"Shrimp, Dried, Small / Lb"
1f4c7507-2eba-4bb4-a40e-f16e4f7cf711,Camido,2889.09,Tea - Vanilla Chai
17f371b5-5538-496b-9792-fdfd7bb2c801,LiveZ,9568.5,Cucumber - Pickling Ontario
4afe8437-6e97-4bcb-b5e2-cb2952dafc52,Skaboo,3502.9,Dragon Fruit
fdc8c324-afa8-4a13-832b-d205465f5df7,Flashpoint,6267.23,Sauce - Hp
ac3dc81a-f46f-4120-9c7c-4fe6e2fba100,Oyope,8747.22,Juice - Orange
056ced73-9080-40b6-88c2-e3427f71f34d,Youspan,4530.55,Eggplant - Baby
